what,kind,bundleId,bundleVersion,description,time
locale,sysinfo,,,"en_US",1267735433827
processors,sysinfo,,,"2",1267735433827
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1267735433827
java.runtime.version,sysinfo,,,"1.6.0_06-b02",1267735433827
java.specification.name,sysinfo,,,"Java Platform API Specification",1267735433827
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1267735433827
java.specification.version,sysinfo,,,"1.6",1267735433827
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1267735433827
java.version,sysinfo,,,"1.6.0_06",1267735433827
java.vm.info,sysinfo,,,"mixed mode",1267735433827
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1267735433827
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1267735433827
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1267735433827
java.vm.specification.version,sysinfo,,,"1.0",1267735433827
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1267735433827
java.vm.version,sysinfo,,,"10.0-b22",1267735433827
started,bundle,org.eclipse.mylyn.bugzilla.core,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.bugzilla.core",1267735433921
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.bugzilla.ui",1267735434046
started,bundle,org.eclipse.mylyn.context.core,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.context.core",1267735434218
started,bundle,org.eclipse.mylyn.context.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.context.ui",1267735434233
started,bundle,org.eclipse.mylyn.tasks.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.tasks.ui",1267735434468
started,bundle,org.eclipse.mylyn.team.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.team.ui",1267735434530
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1267735434577
started,bundle,org.eclipse.mylyn.monitor.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.monitor.ui",1267735434686
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1267735434702
